,Age,Weight,Height,Neck,Chest,Abdomen,Hip,Thigh,Knee,Ankle,Biceps,Forearm,Wrist,log_sigma,Intercept
0,-0.0014697732,-0.06838885,-0.17909868,-0.48016775,-0.090423726,1.0809711,-0.13592899,0.021676745,-0.11947992,-0.04763585,-0.02196452,0.33368632,-1.1574696,1.4631257,-0.28619477
1,0.10031748,-0.123266734,-0.007742825,-0.7301531,0.06129942,0.9565807,-0.15868406,0.3684004,0.16008776,0.26731178,0.17476395,0.25745925,-1.9805423,1.4849972,0.38894194
2,0.03856869,-0.058917124,0.06432705,-0.5444557,-0.04455432,0.98869884,-0.42205554,0.34975833,-0.37828314,0.13187484,0.31065696,0.486896,-0.98537946,1.4755119,-0.15183824
3,0.050194215,-0.23279993,-0.05997063,-0.26817653,0.21957897,0.780611,0.12089416,0.26716146,0.36363676,0.30788437,0.15044335,0.35388675,-1.0097879,1.4495015,0.07224548
4,0.011556603,-0.22369556,-0.0730263,-0.44897208,0.11610674,1.0029289,0.046132855,0.07301698,0.25967756,-0.02408054,0.32715613,0.3242141,-0.46238282,1.4474893,-0.41681156
5,0.04045198,-0.14774044,0.052458305,-0.2405627,0.07858431,0.98152846,-0.19803818,0.27940974,0.18351243,0.29710406,0.039837584,0.41187713,-1.7959028,1.4478877,0.61259794
6,0.05611832,-0.09560643,-0.15453933,-0.71775925,-0.1601105,0.9862452,-0.09437963,0.18620473,0.02631129,0.06300884,0.27516958,0.38273153,-0.5864974,1.4525455,-0.5137463
7,0.082683645,-0.05735497,0.057853613,-0.51601666,-0.018557947,1.021066,-0.44630882,0.3872075,-0.12700062,0.51857495,0.09727769,0.66960436,-2.499895,1.4407425,0.32806394
8,-0.0024652039,-0.14602889,-0.14892974,-0.39837953,0.006102943,0.92528903,0.09568118,0.07368156,0.262259,-0.21603519,0.26176026,0.030084487,-0.23723243,1.4172628,-0.30468765
9,0.010081482,-0.10602314,-0.13714705,-0.38711214,0.022266354,0.90539134,0.03164187,-0.019883659,0.28392276,-0.15347783,0.21813262,0.0136587955,-1.1267405,1.4715044,0.16293192
10,0.035140216,-0.1259981,-0.11567545,-0.14294402,-0.030595638,0.9322261,-0.22980608,0.21940885,0.18950462,-0.24406332,0.4401538,0.07886586,-0.481591,1.4771839,-0.07581666
11,0.047349647,-0.07847222,-0.08708922,-0.7421658,0.028722037,1.0368431,-0.17642225,0.24934915,-0.45698822,0.34344804,-0.15612388,0.5349392,-1.2726868,1.4753267,0.34016237
12,0.056076583,-0.11311217,-0.11039101,-0.53486615,-0.14354709,1.089584,-0.30802986,0.46540442,-0.18628964,0.19729868,0.37232402,0.41721588,-0.7972358,1.5655247,-0.23123892
13,0.016676657,-0.10931048,-0.10775704,-0.4821456,-0.019328149,1.0299144,-0.18635947,0.056641165,0.053832024,-0.02659966,0.12431013,0.3500981,-0.62151575,1.4282057,0.20806248
14,-0.015107418,-0.08417631,0.06355867,-0.59131706,0.05004768,0.97105724,-0.21423401,0.11997825,-0.15133542,0.15280515,0.06316217,0.59122133,-0.7883799,1.4780334,0.23500918
15,0.10214018,-0.073653296,-0.3416304,-0.39331162,-0.13403305,0.9722204,0.020709261,0.1464461,-0.38178453,0.06417244,0.10157793,0.7394365,-1.507099,1.4754633,-0.1321382
16,0.05570218,-0.015691586,0.00586869,-0.44539124,0.066155076,0.965669,-0.4414798,0.27741075,-0.06254894,0.0088349935,-0.035216462,0.09280715,-1.6097485,1.486703,0.009784566
17,0.051697794,-0.0523473,-0.043173622,-0.49138314,-0.066989996,0.9680142,-0.4078217,0.3215043,0.17268783,0.12835833,0.15939638,0.24567565,-1.64755,1.4360391,0.19260845
18,0.04881899,-0.13409543,0.06304799,-0.5636646,-0.11851611,1.1231688,-0.23723464,0.304035,0.23804441,0.41901252,0.27366155,0.11823149,-2.1940598,1.4672823,0.14508271
19,0.06007243,-0.075672485,-0.15971701,-0.57428086,0.02671177,0.83162344,-0.18919112,0.1358558,0.025307205,0.0005414523,0.18223599,0.77819127,-0.32534412,1.4529487,0.22855635
20,0.058901988,-0.05194173,-0.16158494,-0.5052322,-0.023790712,0.95398855,-0.34308085,0.47479507,0.049390674,-0.06492178,-0.12750994,0.12905368,-1.1954355,1.4845172,0.51061535
21,0.07021569,-0.025370229,-0.07489012,-0.6531909,-0.011308168,0.9627645,-0.41188005,0.24747738,-0.013729471,-0.19785143,0.09103663,0.6866679,-1.5098462,1.523976,-0.63354367
22,0.092041336,-0.063155904,-0.03961477,-0.5826293,-0.12452354,0.8992894,0.009111518,0.30951706,-0.28423682,0.05997543,-0.13376203,0.5554254,-1.1365465,1.4421015,0.18436012
23,0.036629245,-0.13672881,-0.09360159,-0.42732993,0.059009716,0.9911501,-0.30952904,0.3291364,0.16717583,0.2798076,0.33793017,0.42992502,-1.8374146,1.4494165,-0.21213625
24,0.041612096,-0.08989012,-0.027144227,-0.50329936,-0.0076447357,0.897013,-0.0008494798,0.18429223,-0.10103641,0.03783817,0.03891861,0.28292748,-0.39330924,1.4547857,0.087609634
25,0.058472358,-0.120567754,-0.11644921,-0.5670355,0.09445051,0.9108711,-0.16276424,0.434888,-0.09501645,-0.23372602,0.22430173,0.29296172,-0.65026873,1.4727811,-0.44814467
26,0.07209617,-0.13419725,-0.0626554,-0.55343425,0.029234549,0.9073829,-0.11477575,0.3866366,-0.099684305,-0.06737841,0.17907237,0.09620215,-0.5909802,1.4576449,-0.69816226
27,0.016547156,-0.07280709,-0.10658452,-0.6543118,0.039721582,0.9844262,-0.29868057,0.048338395,-0.025471637,0.29277253,0.049920693,0.69451684,-1.5419636,1.4371364,-0.24863118
28,0.06985025,-0.12008555,-0.08514338,-0.261492,-0.0841328,0.9150688,-0.07607266,0.28409022,0.041330148,0.015789213,0.042015195,0.4000844,-1.4117457,1.4521908,0.21550785
29,0.052856393,-0.056042615,-0.13276006,-0.62877285,0.09565669,0.9053322,-0.1585503,0.15322155,0.21975899,-0.0029477915,0.024166472,0.46110985,-1.6931258,1.4317012,0.563732
30,0.08345788,-0.12199748,-0.03334204,-0.54511434,0.13569921,0.85460037,-0.33688596,0.51410437,-0.37762907,0.42598262,0.16993217,0.25067985,-0.8380857,1.4868414,-0.30808973
31,0.07770783,-0.08626677,-0.030172057,-0.49443606,0.111378625,0.87339234,-0.40983102,0.58922505,-0.27975646,0.4551379,0.27373275,0.2547848,-0.9754019,1.4896148,-0.23643012
32,0.05992375,-0.05985818,-0.09234536,-0.28490436,-0.22642408,0.9729533,0.057065893,-0.13635947,0.098738864,0.005109158,0.07540156,0.62180495,-1.7696525,1.4414147,-0.14861882
33,0.07970477,-0.13985536,-0.08909175,-0.3114925,0.022898518,0.96716,-0.3514101,0.48820105,0.34848416,0.34293354,-0.05532094,0.800827,-1.8970759,1.5392495,0.35538408
34,0.098435044,-0.102873944,0.02449291,-0.2550725,0.0445719,0.88785934,-0.106244236,0.18281938,-0.08729869,0.27127472,0.05134084,0.27842537,-1.8513157,1.4718177,0.6028157
35,0.054359708,-0.1345016,-0.031461388,-0.23552802,0.036410943,0.91681045,-0.2654259,0.48211533,0.025541455,0.0023892932,0.17737581,0.31815723,-1.1067672,1.3968289,0.104970135
36,0.03456168,-0.08408176,-0.089804254,-0.5709858,-0.09696973,1.021587,-0.024069581,0.01702549,-0.015036209,0.06379526,0.13892318,0.46597672,-1.5319455,1.4996223,-0.12969597
37,0.0353838,-0.10689,-0.22207606,-0.52424014,-0.10135108,1.0584527,-0.22291984,0.052521907,0.010724006,0.20993264,0.34349078,0.5306166,-0.43479967,1.5660872,-0.08816749
38,-0.0036754925,-0.08568894,0.071045384,-0.4604071,-0.10468174,1.1123911,-0.32406843,0.3484214,-0.20563267,-0.07384581,0.10382038,0.18473808,-1.0737743,1.3748575,-0.026111726
39,0.070967376,-0.086751916,-0.13885675,-0.7039468,-0.04370354,0.98651916,-0.42105812,0.27576047,0.22744995,0.27495426,0.5052922,0.30436435,-0.7743441,1.4728422,-0.19936772
40,-0.005537536,-0.06349846,-0.0202477,-0.36939043,-0.09795392,1.0721244,-0.24715374,-0.115894444,0.059228722,-0.06618552,0.108772166,0.6482724,-1.1119775,1.4588809,0.18384117
41,-0.010487318,-0.08604009,-0.15696946,-0.4131448,-0.16014689,1.101798,-0.21072617,0.11094394,-0.10844533,0.08698368,0.116379306,0.44560075,-1.0626094,1.4599929,1.0859631
42,0.035996705,-0.12781923,-0.09926815,-0.036168996,-0.052017204,0.9244664,-0.14419538,0.25837368,-0.13813244,0.21575782,0.24518903,0.4026265,-1.1300876,1.571803,-0.059594363
43,0.047386434,-0.04062009,-0.16349292,-0.15030365,-0.030736048,0.94850254,-0.37396464,0.22128262,-0.0021109022,-0.12065425,0.1871749,0.056480154,-1.9638177,1.4306167,-0.18636315
44,0.038061164,-0.13213487,-0.1311845,-0.42221224,-0.00707018,0.9530911,-0.12652004,0.27417833,-0.084593035,0.33768165,0.24447781,0.4967113,-0.42514795,1.4441112,-0.33488616
45,0.059844498,-0.09565906,0.0690551,-0.5109522,-0.0013621058,1.0225024,-0.3078953,0.24560006,0.062196136,0.30870575,0.056344837,0.40311015,-1.9923515,1.4577254,0.18432789
46,0.06655089,-0.08155524,-0.14317149,-0.85592943,-0.20519298,1.0036246,-0.23721325,0.27607322,0.045062166,0.044994805,0.36438623,0.31104457,-0.42894235,1.4325011,-0.02558124
47,0.08445506,-0.03360976,-0.19520283,-0.81068325,-0.19796687,1.0561621,-0.30819583,0.2380654,-0.049843878,0.0048065176,0.21712016,0.45615694,-0.39857745,1.393925,0.25005326
48,0.092972174,-0.028777793,-0.17909743,-0.88124347,-0.1715785,1.0221987,-0.3706091,0.26640078,-0.08146362,0.021134384,0.19225125,0.416272,-0.5276696,1.3940341,0.24463654
49,0.036165208,-0.04858037,-0.04370205,-0.35553142,-0.021653328,1.0129403,-0.37202087,0.27033713,-0.13902941,-0.036020458,0.12668096,0.33757246,-1.6322128,1.4927608,-0.22521462
50,0.054549865,-0.15380587,-0.08464471,-0.48880073,-0.09088199,1.0203221,0.028826453,0.022763621,0.2992529,0.32801566,0.3406038,0.39043707,-1.1079876,1.4123703,0.14363724
51,0.016934797,-0.12973225,-0.09496151,-0.23334362,0.03651592,0.98480374,-0.1674951,0.0775608,0.13663007,0.04138063,0.21439594,0.4357774,-1.8395752,1.5079659,0.045336902
52,0.10827788,-0.14894296,-0.040975798,-0.3789438,0.06984086,0.8377378,0.06390734,0.35828772,-0.03731564,0.10633919,-0.037202783,0.293875,-1.2115146,1.4163781,0.1334258
53,0.023443155,-0.047537535,-0.17584348,-0.62633413,-0.10252715,1.1226666,-0.4308787,0.13081852,0.011892489,0.12969296,0.24603125,0.47507927,-1.5839533,1.4697894,-0.15056233
54,0.050284166,-0.100899726,-0.112581395,-0.58559793,-0.14579985,1.019961,0.07097763,0.031852707,-0.12932529,0.08431051,0.23038927,0.42509046,-0.49828476,1.4858055,0.18677256
55,0.03897364,-0.0896831,-0.13099444,-0.4925579,-0.18689549,1.0296166,0.025306167,-0.008305432,-0.15609819,-0.06931929,0.27156606,0.42586172,-0.31235343,1.4629414,0.15743905
56,0.024764834,-0.078352995,-0.05658082,-0.31431717,0.17928249,0.9355842,-0.6362182,0.280865,0.4299888,0.18126194,0.15612987,0.3298245,-1.6558169,1.4640312,-0.22291194
57,0.015601118,-0.12268683,-0.117790185,-0.9123563,0.011098785,1.0417215,-0.15580526,0.29556096,0.12888381,-0.11149548,0.09759331,0.18575317,-0.25734374,1.4591808,0.021549
58,0.013278683,-0.12146734,-0.12252647,-0.8413595,-0.0230648,1.0536467,-0.16713296,0.27783358,0.12036473,-0.038550917,0.029112231,0.1548682,-0.18925406,1.4436172,-0.0040290216
59,0.09150327,-0.0904554,-0.072776765,-0.38697684,-0.047928125,0.95012146,-0.37211558,0.33121186,0.20549347,0.15909275,0.31741008,0.54679316,-1.3892984,1.4337506,0.36584193
60,0.086486116,-0.04747535,-0.088242985,-0.5040818,0.030507613,0.8728955,-0.10362078,0.2794811,-0.36018035,0.10787808,-0.13798742,0.31835794,-1.6300625,1.4701369,-0.31795275
61,0.06286077,-0.065802045,-0.1682567,-0.46294543,0.019283155,0.89477706,-0.270686,0.3416893,-0.488744,0.10331728,0.29447225,0.8726291,-1.4366878,1.4600044,-0.41758117
62,0.025849883,-0.03429077,-0.19325456,-0.18759975,-0.03332018,0.9794704,-0.32137275,0.29235908,-0.57445383,0.4183904,-0.20310754,0.5199489,-1.339681,1.4722077,-0.062019374
63,0.048975512,-0.0025040498,-0.17219329,-0.5543449,-0.10714981,1.0108759,-0.42994246,0.09028077,0.13079286,0.12667957,0.17824665,0.27534637,-1.546343,1.4513794,-0.30386636
64,0.06774039,-0.023264866,-0.11457015,-0.61792934,-0.18546844,0.9839265,-0.45521563,0.41108993,0.24948218,0.14513472,0.009782488,0.32157534,-1.0974522,1.4057027,-0.29600698
65,0.06524526,-0.022039622,-0.1354134,-0.620834,-0.19574311,0.9829851,-0.4737142,0.42395842,0.22338863,0.14985557,0.023365837,0.30535877,-1.0554122,1.4059637,-0.2848053
66,0.055926822,-0.056502353,-0.14181294,-0.520618,0.114124425,0.7601885,-0.03203645,0.10176561,-0.23669548,-0.014633718,0.2226774,0.6217369,-1.8533905,1.5076469,0.10723911
67,0.06317521,-0.06033663,-0.11656879,-0.42104727,0.17477885,0.7270214,-0.05155019,0.21145625,-0.3416674,-0.0022761086,0.17675002,0.6743143,-1.7174163,1.5028843,0.09010578
68,0.07405652,-0.053358443,-0.054088295,-0.6597523,0.19884568,0.74157465,0.043992084,0.17339781,-0.2119455,0.19489732,-0.02918854,0.3386489,-1.8065515,1.4566238,0.1424334
69,0.06796169,-0.18234381,-0.08905974,-0.38804471,-0.12739453,0.9922977,0.046798203,0.14177594,0.009352351,0.22273351,0.2285149,0.7988863,-0.7154407,1.4526348,0.14143975
70,0.07143565,-0.16134585,-0.14502844,-0.614928,-0.0800182,1.0527914,-0.007209704,0.35123417,-0.07965501,0.506909,0.2366864,0.4679156,-1.147623,1.4696275,-0.08270949
71,0.044006668,-0.0085291015,-0.04613598,-0.4293216,-0.10078776,1.0102924,-0.26682216,0.11869103,-0.16261704,-0.19415836,0.08455734,0.23511483,-1.7785116,1.4480743,0.2795888
72,0.07283458,-0.07963117,-0.22871879,-0.4356367,-0.21288185,1.118899,-0.35295713,0.4090555,-0.23321134,0.26564425,-0.24638978,1.0193516,-0.85157835,1.5204883,-0.51978815
73,0.09818882,-0.03776659,0.044565186,-0.5819958,-0.008888328,0.8559609,-0.2301287,0.142277,0.20856594,-0.0002784431,0.40621588,0.18079415,-1.7555969,1.4324998,0.20176554
74,0.09077346,-0.06693891,-0.11625917,-0.47619963,-0.08968411,0.9178181,-0.14004353,0.14062662,-0.025934672,0.080183014,0.68966186,0.088025495,-2.1879704,1.4041291,-0.25250888
75,0.0019983137,-0.064050965,-0.11031934,-0.71266854,-0.16183364,1.1128732,-0.31109872,0.099637374,0.10991453,0.18485492,0.01816921,0.6185744,-0.5963579,1.4461808,0.20289187
76,0.022812776,-0.07365433,-0.18512192,-0.8383706,0.06928727,0.9412143,-0.120897464,0.3034132,-0.24394324,-0.59471184,0.020297533,0.38325378,-0.4213823,1.4419252,-0.28741062
77,0.02990471,-0.068290174,-0.1689202,-0.81451756,0.090368696,0.8946864,-0.14933899,0.27677065,-0.25785622,-0.3958443,0.038616594,0.38375765,-0.48643854,1.4409258,-0.18404697
78,0.07624958,-0.10919029,-0.026390381,-0.44606137,-0.031238,0.92813045,-0.1951279,0.13355038,0.47556034,0.22768994,0.2582728,0.30404505,-1.9210157,1.480552,0.089026935
79,0.07272404,-0.13658506,0.09801637,-0.8847574,0.056795582,0.93600726,-0.09804429,0.35008523,0.19721027,0.2606391,0.3118671,0.44995856,-1.3857447,1.41493,0.010307075
80,0.07705623,-0.14733027,0.12744907,-0.8988501,0.034500096,0.9227037,-0.15453902,0.3465798,0.1807483,0.31808886,0.29261646,0.3748291,-1.2877091,1.401271,-0.000508273
81,0.08498631,-0.14292526,0.117110796,-0.8859153,0.02377769,0.91809565,-0.14018583,0.38821256,0.14765431,0.33674332,0.28084934,0.36378056,-1.3335838,1.4152253,-0.0116196675
82,0.08449287,-0.048375126,-0.17008854,-0.6376215,0.1285004,0.797396,-0.2052499,0.25615165,-0.20915848,-0.026745876,0.29658693,0.34853488,-1.4522358,1.4897288,0.22365293
83,0.033521604,-0.20039308,0.1362151,-0.29456267,0.13835165,0.9864497,-0.1331859,0.4294114,0.23541133,0.10779826,-0.06896343,0.39108008,-0.6290043,1.408161,-0.2786969
84,0.08196705,-0.01787081,-0.23724583,-0.6253887,-0.118325196,0.9054116,-0.16868284,-0.028739007,-0.14045718,0.23604403,0.39336827,0.4028093,-1.2391008,1.4979031,0.21875766
85,0.0025482797,-0.15897243,-0.1534395,-0.2147267,-0.027365455,1.0569744,-0.07525415,0.020505525,0.3207358,0.15015954,0.13930747,0.4076137,-1.3605514,1.4778,-0.07456891
86,-0.00050463865,-0.16612665,-0.16778624,-0.18537852,0.047459405,1.0363976,-0.10490919,-0.14271337,0.29774,0.08410065,0.2832871,0.52403945,-0.8782207,1.4567832,0.049105443
87,0.08017775,-0.075537205,0.022581778,-0.5711037,-0.056796312,1.0307994,-0.3304138,0.15277462,0.16003212,0.20807934,0.20269549,0.06730952,-1.1013886,1.4785038,0.210333
88,0.081394896,-0.052088015,-0.26334527,-0.4705904,0.05186084,0.8853321,-0.2817318,0.23663758,-0.32452995,-0.037988357,0.17286137,0.65085524,-1.223811,1.4283408,-0.2262845
89,0.07504754,-0.06821594,-0.21269833,-0.4081549,-0.07295473,0.878628,-0.26993105,0.44147524,-0.031497464,0.004507046,0.1298224,0.3992667,-1.3816882,1.4795634,-0.37314156
90,0.041988518,-0.11295816,0.08868651,-0.66108894,-0.058448125,1.033864,-0.012330934,0.14554322,-0.22752064,0.4103708,-0.0072823334,0.8453853,-1.5414654,1.4418589,0.1121434
91,0.11943528,-0.11550957,0.09571364,-0.76457775,0.058861893,1.0403918,-0.35154134,0.59020036,-0.5936605,0.40482968,0.272197,0.52835304,-1.4455255,1.4266332,-0.25378895
92,0.021732269,-0.11949777,-0.03415043,-0.57572687,-0.023959463,1.0539218,-0.15653107,0.054863654,0.09424043,0.41894516,0.22336656,0.29127446,-0.75877666,1.4782076,0.36199114
93,0.03821357,-0.11086679,-0.093044564,-0.6352008,-0.10089138,1.0473416,-0.24460422,0.27666098,0.34906903,-0.07605874,0.26196986,0.4923353,-1.2964596,1.432281,-0.16126454
94,0.044321366,-0.19702354,-0.0052664448,-0.5261718,-0.071479514,1.1504545,-0.11427233,0.15691677,0.5806129,0.3374292,0.15277356,0.5428377,-1.4980148,1.4469944,-0.15046614
95,0.08758566,-0.044008233,0.052291967,-0.5201403,0.055830684,0.7885158,-0.22580545,0.27407506,-0.2617051,0.4386151,0.42882666,0.23652503,-2.1787899,1.482318,-0.15842678
96,0.04404377,-0.044274867,-0.09194032,-0.40409216,0.05699037,0.85964006,-0.42236832,0.31200927,-0.3624672,0.31015456,0.41453528,0.1355217,-1.4362409,1.476609,-0.38343874
97,0.06185523,-0.11981054,0.004626257,-0.22013421,-0.023461528,1.0022951,-0.11310884,0.32556763,-0.14633332,-0.07140134,0.045018554,0.33191514,-1.3285838,1.3735377,0.19006696
98,0.0462761,-0.07674138,-0.034986988,-0.32066762,-0.067343384,0.9605165,-0.21503475,0.24952692,-0.14622031,0.19155158,0.20372218,0.44425276,-1.5186607,1.424746,-0.4406945
99,0.049500994,-0.1274611,-0.14655556,-0.4120666,0.044500474,0.93728614,-0.20844889,0.15681589,0.6596632,0.0346464,0.024973322,0.36224422,-1.3250351,1.4689208,-0.26304877
100,0.063684486,-0.10122426,-0.1927021,-0.2901988,-0.08513013,0.9033157,-0.24768452,0.31121778,0.17410344,-0.31726432,0.4842661,0.32597044,-1.1750269,1.4700712,-0.31095397
101,0.047595847,-0.05143951,-0.03443802,-0.6487747,-0.111160226,1.0612803,-0.13802257,-0.12341053,-0.08120511,0.3114442,0.086362556,0.47915548,-1.392444,1.4899108,0.25462782
102,0.0262859,-0.12716217,-0.15076014,-0.42505357,0.021031143,0.9208699,-0.09949565,0.11253075,0.404935,-0.12243471,0.22490712,0.4728391,-1.08019,1.40149,-0.15625735
103,0.06987652,-0.047318794,-0.106534995,-0.7198013,-0.017215047,0.93680036,-0.23401393,0.18010752,0.119652696,-0.12961963,0.30450058,0.4579016,-1.4756384,1.5266918,0.19958587
104,0.044607487,-0.020669099,-0.094804086,-0.94575906,-0.03304095,0.9162046,-0.17758685,0.19694445,-0.04244937,-0.14471291,0.24716483,0.44979385,-1.3452791,1.4756047,-0.031972088
105,0.05173388,-0.12926516,-0.04988365,-0.15399298,-0.0151262265,0.9651396,-0.21576227,0.37414864,-0.14196925,0.34621587,0.050490905,0.33985114,-1.719973,1.4646903,-0.01275204
106,0.057598963,-0.093174204,-0.12958518,-0.49790537,0.14537513,0.87855023,-0.15014833,0.21494956,-0.02829971,0.3060789,0.1640815,0.25600985,-1.5892024,1.424623,-0.27857378
107,0.037899505,-0.06837219,-0.22639887,-0.3210481,-0.1347357,0.9316056,-0.1836412,0.2742327,0.06558342,-0.014421251,0.0014730487,0.48586684,-0.33119068,1.4662929,-0.64040273
108,0.0588698,-0.07543114,-0.113276064,-0.2566185,-0.0051049246,0.96806306,-0.14556824,1.6204081e-05,-0.06553083,0.43184778,0.35625166,0.28369692,-2.3794188,1.4274411,0.2252985
109,0.08073592,-0.06349645,-0.14877644,-0.17784505,0.011593993,0.7500631,-0.020162566,0.14965756,0.075828224,0.118988365,0.18606155,0.36193764,-1.7091637,1.4310235,0.3277492
110,0.062697686,-0.052351557,-0.08433359,-0.24977335,-0.06325446,0.8528506,-0.035507977,0.0949749,-0.16298556,-0.2146746,0.1138338,0.24256368,-1.454879,1.4663287,-0.07249658
111,0.014772801,-0.11411819,-0.14744967,-0.7513315,-0.031154234,1.0847477,-0.4231569,0.30111247,0.31291354,0.42193678,0.16061209,0.46853206,-0.9354907,1.483882,-0.0055302083
112,0.001817683,-0.11557058,-0.041939903,-0.9243297,-0.020018023,1.099605,-0.113125734,-0.10499594,0.10887142,0.22046466,0.21892421,0.6122857,-0.83718765,1.484457,0.24617891
113,0.07224983,-0.13869807,-0.064934425,0.15497948,-0.15246736,1.0199798,-0.081763454,0.37040478,-0.11118134,0.08787743,0.2231552,0.24793693,-1.8574271,1.4478946,-0.10720725
114,0.07711611,-0.13318558,0.028713563,-0.16112539,-0.13901603,1.0500596,-0.05465412,0.17940505,-0.1955243,0.2291545,0.30982706,0.4476411,-1.9719243,1.4974046,-0.38585383
115,0.085549876,-0.09375417,-0.011704594,-0.31180993,-0.0021996424,0.83632606,-0.16515835,0.41682956,-0.20845011,0.25071582,0.051347233,0.30895144,-1.6654716,1.4135689,0.019702084
116,0.056948382,-0.08039473,-0.09072677,-0.44906342,0.084428735,0.8891295,-0.13229261,0.113142714,-0.24227005,0.1267728,0.2358957,0.49535012,-1.6982628,1.4185917,0.3552423
117,0.038882613,-0.14142519,0.034658574,-0.6331402,-0.07789744,1.0881674,-0.24703857,0.34328175,0.043037694,0.45016736,0.17873967,0.66974765,-1.4333037,1.3878083,-0.08538015
118,0.033566155,-0.06446546,-0.08003815,-0.50521797,0.21731517,0.7333829,-0.16174084,0.21388495,-0.148431,-0.3169603,0.33877602,0.20946696,-1.3539059,1.548309,0.041191578
119,0.06095366,-0.18041804,0.019717537,-0.26599088,0.16305827,0.92169386,-0.21333483,0.48223186,0.36973643,0.1668343,-0.20577922,0.42803577,-1.2473828,1.3538227,0.22973742
120,0.056509376,0.003005178,-0.2238711,-0.84349406,-0.101155765,0.9310466,-0.21877557,0.062272564,-0.35563445,-0.11368128,0.6033744,0.40594077,-1.2247413,1.532736,-0.2976653
121,0.067982,0.00021062768,-0.20447281,-0.72744596,-0.22023195,1.0523484,-0.4801692,0.23367569,-0.084140256,0.37712595,0.3473131,0.35563,-1.6218201,1.4551941,0.51873493
122,0.026799813,-0.09464464,-0.09809899,-0.59628284,0.07947727,0.92131364,-0.023423221,0.12626255,-0.3025347,-0.024509426,-0.009963514,0.47777635,-0.9073933,1.5022873,-0.40561655
123,0.06912743,-0.1070407,-0.08477813,-0.51705885,-0.087854646,1.0102812,-0.31211814,0.29191074,0.48503903,0.14072767,0.25862485,0.1828096,-1.5054811,1.4170187,0.30407256
124,0.050785486,0.011537173,-0.09256226,-0.7487507,-0.10485232,1.0410724,-0.532818,0.08956507,0.34314704,-0.23588249,0.482331,0.44605094,-1.6695446,1.518556,-0.10270096
125,0.03244406,-0.017508846,-0.17017235,-0.5728107,-0.14465848,0.9855815,-0.28563902,0.20951955,-0.10407938,-0.23084444,0.11873716,0.15444422,-0.76884437,1.480358,-0.03613191
126,0.07577896,-0.089072585,-0.08068441,-0.33924612,-0.15672886,1.0436022,-0.20451148,0.2224607,-0.3466601,0.41081545,0.13501,0.6902082,-1.7916353,1.4624115,0.18039529
127,0.011061951,-0.09071908,-0.02193001,-0.50090057,-0.020881979,1.0373138,-0.3290692,0.25420412,-0.060862206,-0.13863474,-0.029721411,0.27674168,-0.38509554,1.475959,-0.3240359
128,0.040773958,-0.17153874,-0.06452137,-0.21171932,0.12863733,0.9562686,-0.09860596,0.17474148,0.2374622,0.025584286,0.3053197,0.2275239,-1.6493583,1.4399177,0.08466391
129,0.07838373,-0.067653604,-0.098100975,-0.7350913,-0.0937552,1.0446496,-0.26159325,0.3410552,-0.32049003,0.19382167,0.11609935,0.6173889,-1.4157914,1.4592302,-0.13375129
